;headlines;label
0;China rehearses 'sealing off' Taiwan in latest drills;1
1;Indian bride on the run after firing gun at wedding;1
2;Prominent Chinese legal activists jailed;1
3;Tesla to build new battery factory in Shanghai;1
4;The UK street that represents the world;1
5;What does the huge leak of Ukraine war documents tell us?;1
6;BBC objects to 'government funded' Twitter label;1
7;The EU politician fighting his own extradition;1
8;Dominant Rahm wins Masters as Koepka fades;1
9;Premier League reaction - Arsenal drop points in title race;1
10;Arsenal 'poke the bear' & cede title-race control;1
11;Why do children reverse letters?;1
12;The biggest work skills Gen Z lack;1
13;The 'real' way to whip cream;1
14;'The greatest episode of TV this year';1
15;What lies behind the rise of the contraception app?;1
16;The refugees making a living after fleeing Ukraine;1
17;Tiger Woods' ball from 1997 Masters fetches $64,000;1
18;'We turned down a client to uphold gay rights';1
19;A nutty solution for cleaner stoves and barbecues;1
20;Giant sketch in field marks Picasso death anniversary;1
21;Giant sketch in field marks Picasso death...;1
22;Video shows avalanche in French Alps;1
23;Songs of grief for sisters killed in occupied...;1
24;China conducts Taiwan military drills;1
25;Forget a K9 unit, this police station has a...;1
26;The damage done by 80 tornadoes in a week;1
27;One-minute World News;1
28;Watch: One of Macron's favourite cafes in...;1
29;Lightning strikes the tip of Toronto's CN...;1
30;UK and US walk out on Russia children's...;1
31;People were taking drugs in Spain 3,000 years ago;1
32;Samsung to cut chip production after profits dive;1
33;Are audiences getting more rowdy? Theatre etiquette in the spotlight;1
34;Deportation of grandmother with Alzheimer's paused;1
35;Lightning and lambs: Photos of the week;1
36;Norwegian seafloor holds clue to Antarctic melting;1
37;US job creation slows but unemployment stays low;1
38;Would you open up to a chatbot therapist?;1
39;Friend or foe: Can computer coders trust ChatGPT?;1
40;In pictures: King Charles's state visit to Germany;1
41;Royal murals and rare rhinos: Africa's top shots;1
42;Film fan creates hundreds of miniature movie sets;1
43;Southern Lights unusually vivid over New Zealand;1
44;Paul O'Grady: A life in pictures;1
