contraction;expanded
ain't;is not
aren't;are not
can't;cannot
could've;could have
couldn't;could not
didn't;did not
doesn't;does not
don't;do not
gonna;going to
gotta;got to
hadn't;had not
hasn't;has not
haven't;have not
he'd;he would
he'll;he will
he's;he is
how'd;how would
how'll;how will
how's;how is
I'd;I would
I'll;I will
I'm;I am
I've;I have
isn't;is not
it'd;it had
it'll;it will
it's;it is
let's;let us
ma'am;madam
might've;might have
mightn't;might not
must've;must have
mustn't;must not
needn't;need not
o'clock;of the clock
ol';old
oughtn't;ought not
shan't;shall not
she'd;she would
she'll;she will
she's;she is
should've;should have
shouldn't;should not
so's;so as
that's;that is
there'd;there had
there's;there is
they'd;they had
they'll;they will
they're;they are
they've;they have
this's;this is
those're;those are
'tis;it is
to've;to have
'twas;it was
wanna;want to
wasn't;was not
we'd;we had
we'll;we will
we're;we are
we've;we have
weren't;were not
what'd;what did
what'll;what will
what're;what are
what's;what is
what've;what have
when's;when is
where'd;where did
where's;where is
where've;where have
which's;which is
who'd;who had
who'll;who will
who's;who is
who've;who have
why'd;why did
why'll;why will
why's;why is
won't;will not
would've;would have
wouldn't;would not
y'all;you all
y'all'd've;you all would have
y'all're;you all are
y'all've;you all have
you'd;you would
you'll;you will
you're;you are
you've;you have
